Survey_item,Detail,2014,2015,2016,2017,2018,2019
Date of last visit to Japan,2 times or more Within the past 10 year,,,,,34.0,19.0
Date of last visit to Japan,2 times or more More than 10 years ago,,,,,12.0,15.0
Number of visiting times in the past 1 year,No visiting in the past 1 year,,,,,714.0,703.0
Number of visiting times in the past 1 year,No visiting in the past 1 year 1 time,,,,,154.0,192.0
Number of visiting times in the past 1 year,No visiting in the past 1 year 2 time,,,,,47.0,54.0
Number of visiting times in the past 1 year,No visiting in the past 1 year 3~5 times,,,,,25.0,30.0
Number of visiting times in the past 1 year,No visiting in the past 1 year 6~9 times,,,,,5.0,3.0
Number of visiting times in the past 1 year,No visiting in the past 1 year 10 times or more,,,,,,2.0
Members of your Party ,Just me,189.0,151.0,142.0,126.0,186.0,208.0
Members of your Party ,Spouse/partner,47.0,48.0,46.0,83.0,114.0,104.0
Members of your Party ,Family member(s),117.0,153.0,169.0,154.0,292.0,335.0
Members of your Party ,Work colleague(s),259.0,136.0,141.0,149.0,156.0,133.0
Members of your Party ,Friend(s),110.0,140.0,121.0,120.0,171.0,188.0
Members of your Party ,Other,12.0,14.0,11.0,8.0,26.0,16.0
Main Purpose of This Trip,Tourism/leisure,201.0,308.0,320.0,342.0,594.0,612.0
Main Purpose of This Trip,Visiting family/friends,51.0,30.0,33.0,29.0,51.0,68.0
Main Purpose of This Trip,Honeymoon,2.0,,1.0,4.0,6.0,7.0
Main Purpose of This Trip,School-related trip,13.0,16.0,8.0,6.0,9.0,15.0
Main Purpose of This Trip,Sport/watching sport,,,,1.0,2.0,1.0
Main Purpose of This Trip,Event,6.0,,4.0,2.0,6.0,1.0
Main Purpose of This Trip,Study,23.0,23.0,23.0,20.0,29.0,24.0
Main Purpose of This Trip,Medical treatment/Medical check-up,3.0,,1.0,,,
Main Purpose of This Trip,Incentive travel,16.0,7.0,4.0,7.0,14.0,7.0
Main Purpose of This Trip,Exhibition/trade fair,11.0,1.0,5.0,2.0,9.0,11.0
Main Purpose of This Trip,International conference,39.0,27.0,35.0,24.0,25.0,26.0
Main Purpose of This Trip,Company meeting(held offsite),99.0,70.0,39.0,54.0,55.0,56.0
Main Purpose of This Trip,Training,127.0,69.0,64.0,50.0,46.0,58.0
Main Purpose of This Trip,Other business,78.0,64.0,74.0,78.0,88.0,86.0
Main Purpose of This Trip,Transit,,6.0,8.0,8.0,5.0,9.0
Main Purpose of This Trip,Other,47.0,11.0,4.0,4.0,6.0,3.0
Types of accommodation in Japan,Hotel (western style),525.0,500.0,455.0,464.0,705.0,722.0
Types of accommodation in Japan,Japanese-style inn,81.0,87.0,68.0,72.0,100.0,61.0
Types of accommodation in Japan,My own pension or condominium,4.0,6.0,13.0,5.0,6.0,3.0
Types of accommodation in Japan,School dormitory or company-owned accomodation facility,82.0,50.0,54.0,35.0,42.0,48.0
Types of accommodation in Japan,Home of family/friends,67.0,43.0,53.0,47.0,78.0,103.0
Types of accommodation in Japan,Youth hostel or guest house,,32.0,42.0,55.0,66.0,74.0
Types of accommodation in Japan,Capsule hotel,,,,,12.0,15.0
Types of accommodation in Japan,Paid residential accommodation (Airbnb/Zizaike/etc.),,,,,124.0,121.0
Types of accommodation in Japan,Other,35.0,25.0,40.0,102.0,36.0,34.0
Types of accommodation in Japan,I did not stay,,,,,,
Travel arrangements,Group tour,138.0,127.0,77.0,81.0,101.0,83.0
Travel arrangements,Package for individual travelers,39.0,44.0,54.0,46.0,73.0,69.0
Travel arrangements,independent travel,541.0,461.0,492.0,504.0,771.0,832.0
